assembly_contig	length	n_genome_ids	primary_genome	primary_aligned_bp	secondary_genome	secondary_aligned_bp	chimera_threshold_bp	cross_binid_chimera	has_accepted_alignment
k141_13079	2243	1	ASV507.11	2243		0	1000	false	true
k141_13080	1702	2	ASV486.6	1702	ASV476.8	1702	1000	true	true
k141_13093	1344	2	ASV102.10	1344	ASV153.8	1341	1000	true	true
k141_13098	4831	1	ASV487.10	4831		0	1000	false	true
k141_13101	2626	2	ASV153.8	2619	ASV102.10	2619	1000	true	true
k141_13107	1266	1	ASV579.0	1266		0	1000	false	true
k141_13111	1117	1	ASV476.8	1117		0	1000	false	true
k141_13115	2787	2	ASV102.10	2133	ASV153.8	2031	1000	true	true
k141_13117	3698	1	ASV487.10	3698		0	1000	false	true
k141_13119	1453	2	ASV507.9	1450	ASV507.11	1161	1000	true	true
k141_1312	2632	1	ASV300.8	2632		0	1000	false	true
k141_13122	1292	2	ASV153.8	1292	ASV102.10	1292	1000	true	true
k141_13125	1931	1	ASV387.0	1931		0	1000	false	true
k141_13128	1268	1	ASV579.0	1257		0	1000	false	true
k141_13132	3442	2	ASV507.11	3037	ASV507.9	2956	1000	true	true
k141_13134	1027	1	ASV507.11	966		0	1000	false	true
k141_13139	1677	2	ASV507.11	1229	ASV507.9	1161	1000	true	true
k141_13142	3049	2	ASV102.10	3049	ASV153.8	3015	1000	true	true
k141_13144	1082	2	ASV579.0	720	ASV487.10	719	1000	false	true
k141_13147	1365	1	ASV300.8	1365		0	1000	false	true
k141_13148	2348	2	ASV153.8	2345	ASV102.10	2345	1000	true	true
k141_13149	1141	2	ASV507.11	1141	ASV507.9	1102	1000	true	true
k141_13150	1152	1	ASV579.0	1152		0	1000	false	true
k141_13151	1342	1	ASV399.6	1342		0	1000	false	true
k141_13152	1461	2	ASV507.3	1461	ASV507.1	1461	1000	true	true
k141_13154	1649	1	ASV507.0	1259		0	1000	false	true
k141_13157	1492	2	ASV507.1	1492	ASV507.3	1474	1000	true	true
k141_13158	1170	1	ASV102.10	1170		0	1000	false	true
k141_13159	1083	3	ASV150.14	657	ASV153.8	654	1000	false	true
k141_1316	1285	1	ASV426.8	1285		0	1000	false	true
k141_13165	1046	2	fASV196.1	1046	fASV195.4	880	1000	false	true
k141_13171	3679	0		0		0	1000	false	false
k141_13174	1979	1	ASV387.0	1979		0	1000	false	true
k141_13175	2119	1	ASV406.4	2119		0	1000	false	true
k141_13177	1340	1	ASV406.4	1340		0	1000	false	true
k141_13180	2615	1	ASV487.10	2615		0	1000	false	true
k141_13181	2105	1	ASV579.0	2105		0	1000	false	true
k141_13188	1234	2	ASV507.9	1189	ASV507.11	997	1000	false	true
k141_13190	1892	1	ASV300.8	1892		0	1000	false	true
k141_13193	2486	2	ASV102.10	2486	ASV153.8	2473	1000	true	true
k141_13195	4138	2	ASV507.9	3216	ASV507.11	3216	1000	true	true
k141_13196	1604	2	ASV153.8	1604	ASV102.10	1604	1000	true	true
k141_13197	1474	2	ASV507.1	1474	ASV507.3	1460	1000	true	true
k141_13199	1784	2	ASV153.8	1784	ASV102.10	1784	1000	true	true
k141_1320	1448	1	ASV387.0	1448		0	1000	false	true
k141_13206	1065	3	ASV153.8	1065	ASV102.10	1065	1000	true	true
k141_1321	1276	1	ASV579.0	1276		0	1000	false	true
k141_13215	2117	2	ASV153.8	2117	ASV102.10	2117	1000	true	true
k141_13219	1304	2	ASV153.8	1304	ASV102.10	1304	1000	true	true
k141_13220	1602	1	ASV487.10	1602		0	1000	false	true
k141_13223	4220	1	ASV102.10	4220		0	1000	false	true
k141_13224	1139	2	ASV507.9	1139	ASV507.11	1107	1000	true	true
k141_13225	2437	2	ASV507.1	1424	ASV507.9	1107	1000	true	true
k141_13226	1496	2	ASV153.8	1496	ASV102.10	1496	1000	true	true
k141_13227	1306	2	ASV153.8	1306	ASV102.10	1306	1000	true	true
k141_13229	1331	1	ASV426.8	1331		0	1000	false	true
k141_1323	2353	1	ASV399.6	2353		0	1000	false	true
k141_13234	2076	2	ASV507.9	1729	ASV507.11	1729	1000	true	true
k141_13239	1901	2	ASV102.10	1901	ASV153.8	1889	1000	true	true
k141_13243	1328	2	ASV153.8	1328	ASV102.10	1328	1000	true	true
k141_13247	1622	2	ASV153.8	1622	ASV102.10	1622	1000	true	true
k141_13248	1363	2	ASV507.3	1363	ASV507.1	1363	1000	true	true
k141_13250	1550	1	ASV102.10	1550		0	1000	false	true
k141_13251	1006	1	ASV436.0	1006		0	1000	false	true
k141_13255	1180	3	vASV79.0	1180	vASV71.0	1180	1000	true	true
k141_13257	1240	1	ASV399.6	1240		0	1000	false	true
k141_13262	1319	1	ASV399.6	1319		0	1000	false	true
k141_13263	1749	1	ASV507.1	1749		0	1000	false	true
k141_13266	1263	2	ASV153.8	1263	ASV102.10	1263	1000	true	true
k141_13270	1413	2	ASV153.8	1413	ASV102.10	1413	1000	true	true
k141_13275	1003	2	ASV507.1	979	ASV507.3	956	1000	false	true
k141_13277	1520	1	ASV266.11	1520		0	1000	false	true
k141_13278	2537	2	ASV507.1	1955	ASV507.11	613	1000	false	true
k141_13280	1561	1	ASV387.0	1561		0	1000	false	true
k141_13284	1847	2	ASV102.10	1847	ASV153.8	1511	1000	true	true
k141_13287	1149	1	ASV456.0	1145		0	1000	false	true
k141_13292	1010	1	ASV487.10	1010		0	1000	false	true
k141_13293	1697	1	ASV487.10	1697		0	1000	false	true
k141_13298	2332	1	ASV476.8	2309		0	1000	false	true
k141_13300	1189	1	ASV406.4	1189		0	1000	false	true
k141_13303	1044	2	ASV507.9	1043	ASV507.11	1043	1000	true	true
k141_13304	1487	2	ASV153.8	1487	ASV102.10	1487	1000	true	true
k141_13309	1249	3	ASV507.3	1249	ASV507.0	1230	1000	true	true
k141_13310	1043	3	ASV507.11	1043	ASV507.9	1012	1000	true	true
k141_13312	1236	1	ASV487.10	1236		0	1000	false	true
k141_13314	2725	2	ASV486.6	2725	ASV476.8	2710	1000	true	true
k141_13315	1025	1	ASV399.6	733		0	1000	false	true
k141_13316	3754	1	ASV387.0	3754		0	1000	false	true
k141_13319	1580	2	ASV507.3	1439	ASV507.1	1388	1000	true	true
k141_13322	1165	1	ASV387.0	1165		0	1000	false	true
k141_13323	3406	1	ASV487.10	2778		0	1000	false	true
k141_13326	1677	2	ASV102.10	1677	ASV153.8	1295	1000	true	true
k141_13329	172957	1	ASV149.0	172957		0	17295	false	true
k141_13334	1422	1	ASV387.0	1422		0	1000	false	true
k141_13337	1714	2	ASV153.8	1638	ASV102.10	1638	1000	true	true
k141_1334	1474	2	ASV507.11	917	ASV507.1	633	1000	false	true
k141_13341	6735	1	ASV487.10	6735		0	1000	false	true
k141_13343	1804	3	ASV507.3	1328	ASV507.1	1328	1000	true	true
k141_13344	1793	2	ASV153.8	1793	ASV102.10	1793	1000	true	true
k141_13345	2898	1	ASV387.0	2898		0	1000	false	true
k141_13350	2007	2	ASV507.9	2007	ASV507.11	2007	1000	true	true
k141_13354	1425	1	ASV300.8	1425		0	1000	false	true
k141_13356	3711	1	ASV579.0	3711		0	1000	false	true
k141_13358	1466	2	ASV102.10	1466	ASV153.8	1430	1000	true	true
k141_13359	1995	3	ASV507.0	1995	ASV507.3	1976	1000	true	true
k141_1336	2531	2	ASV153.8	2531	ASV102.10	2531	1000	true	true
k141_13362	1992	1	ASV300.8	1992		0	1000	false	true
k141_13363	2334	2	ASV507.9	2334	ASV507.11	2334	1000	true	true
k141_13365	1256	1	ASV507.1	1218		0	1000	false	true
k141_13367	2408	1	ASV579.0	2408		0	1000	false	true
k141_13369	1379	2	ASV507.9	1379	ASV507.11	1379	1000	true	true
k141_1338	3472	2	ASV102.10	3472	ASV153.8	3454	1000	true	true
k141_13386	2295	1	ASV579.0	2295		0	1000	false	true
k141_13388	2028	1	ASV507.11	1694		0	1000	false	true
k141_13390	1094	1	ASV507.1	1094		0	1000	false	true
k141_13391	1725	2	ASV153.8	1725	ASV102.10	1725	1000	true	true
k141_13395	1604	2	ASV507.11	1604	ASV507.9	1508	1000	true	true
k141_13397	5610	1	ASV487.10	5610		0	1000	false	true
k141_134	1432	3	ASV507.0	1432	ASV507.1	1095	1000	true	true
k141_13400	1023	1	ASV387.0	1023		0	1000	false	true
k141_13406	5199	1	ASV487.10	5199		0	1000	false	true
k141_13408	1282	2	ASV507.9	1071	ASV470.1	1041	1000	true	true
k141_13409	1272	2	ASV153.8	1272	ASV102.10	1272	1000	true	true
k141_13410	1078	1	ASV406.4	1078		0	1000	false	true
k141_13415	1397	2	ASV507.9	1397	ASV507.11	1397	1000	true	true
k141_13426	1856	2	ASV153.8	1818	ASV102.10	1818	1000	true	true
k141_1343	1129	2	ASV153.8	1129	ASV102.10	1129	1000	true	true
k141_13439	1173	2	ASV153.8	1173	ASV102.10	1173	1000	true	true
k141_13445	1042	2	ASV153.8	1042	ASV102.10	1042	1000	true	true
k141_13447	1556	2	ASV153.8	1556	ASV102.10	1556	1000	true	true
k141_13449	2332	1	ASV579.0	2324		0	1000	false	true
k141_13452	1030	1	ASV487.10	1030		0	1000	false	true
k141_13453	1707	1	ASV426.8	1707		0	1000	false	true
k141_1346	2049	1	ASV300.8	2049		0	1000	false	true
k141_13464	1361	1	ASV300.8	1361		0	1000	false	true
k141_13465	1018	1	ASV507.11	1005		0	1000	false	true
k141_13473	1383	1	ASV102.10	1383		0	1000	false	true
k141_13475	13952	1	ASV487.10	13952		0	1395	false	true
k141_13476	1197	1	ASV406.4	1197		0	1000	false	true
k141_13480	2657	1	ASV487.10	2657		0	1000	false	true
k141_13481	1967	1	ASV102.10	1967		0	1000	false	true
k141_13491	2054	1	ASV102.10	2054		0	1000	false	true
k141_13492	1310	1	ASV300.8	1310		0	1000	false	true
k141_13493	1276	1	ASV507.1	1276		0	1000	false	true
k141_13494	1184	2	ASV153.8	1184	ASV102.10	1184	1000	true	true
k141_13498	2431	1	ASV476.8	2423		0	1000	false	true
k141_13507	2525	1	ASV102.10	2525		0	1000	false	true
k141_13508	2349	1	ASV487.10	2116		0	1000	false	true
k141_1351	1034	1	ASV300.8	1034		0	1000	false	true
k141_13512	2543	2	ASV507.9	2074	ASV507.11	2074	1000	true	true
k141_13516	7279	1	ASV387.0	7279		0	1000	false	true
k141_13525	3470	1	ASV102.10	3470		0	1000	false	true
k141_13528	1018	3	ASV153.8	1008	ASV102.10	1008	1000	true	true
k141_13531	2093	2	ASV153.8	2093	ASV102.10	2093	1000	true	true
k141_13533	1133	1	vASV60.0	1133		0	1000	false	true
k141_13534	1767	1	ASV300.8	1767		0	1000	false	true
k141_13538	1564	2	ASV486.6	1239	ASV476.8	1239	1000	true	true
k141_13545	2276	2	ASV153.8	2276	ASV102.10	2276	1000	true	true
k141_13551	1765	1	vASV11.3	1765		0	1000	false	true
k141_13557	12023	1	ASV387.0	12019		0	1202	false	true
k141_13558	1160	1	ASV102.10	1160		0	1000	false	true
k141_13560	12200	1	ASV487.10	12200		0	1220	false	true
k141_13561	1141	1	ASV102.10	1141		0	1000	false	true
k141_13563	2120	1	ASV579.0	2120		0	1000	false	true
k141_13565	1028	1	ASV300.8	1028		0	1000	false	true
k141_13571	2754	1	ASV102.10	2754		0	1000	false	true
k141_13575	3599	1	ASV387.0	3599		0	1000	false	true
k141_13578	1199	2	ASV486.6	1199	ASV476.8	1199	1000	true	true
k141_13582	1324	1	ASV476.8	1324		0	1000	false	true
k141_13587	1218	1	ASV507.9	792		0	1000	false	true
k141_13590	1225	1	ASV579.0	1225		0	1000	false	true
k141_13591	1681	1	ASV507.9	1681		0	1000	false	true
k141_13592	1941	1	ASV300.8	1941		0	1000	false	true
k141_1360	1498	3	ASV486.6	839	ASV476.8	839	1000	false	true
k141_13601	1441	1	ASV507.0	790		0	1000	false	true
k141_13603	1413	1	ASV487.10	973		0	1000	false	true
k141_13604	3816	1	ASV487.10	3816		0	1000	false	true
k141_13605	1290	1	ASV507.0	1282		0	1000	false	true
k141_13606	1075	2	ASV507.9	1075	ASV507.11	1059	1000	true	true
k141_13608	1692	2	ASV102.10	1214	ASV150.14	513	1000	false	true
k141_13611	3039	2	ASV507.1	2308	ASV507.11	1267	1000	true	true
k141_13612	2697	2	ASV153.8	2697	ASV102.10	2697	1000	true	true
k141_13613	1457	2	ASV153.8	1457	ASV102.10	1457	1000	true	true
k141_13614	1205	2	ASV486.6	1205	ASV476.8	1205	1000	true	true
k141_13617	7550	1	ASV487.10	7404		0	1000	false	true
k141_1362	1284	2	ASV153.8	759	ASV102.10	759	1000	false	true
k141_13625	1041	1	ASV399.6	1041		0	1000	false	true
k141_13626	1527	1	ASV579.0	1527		0	1000	false	true
k141_13627	4257	1	ASV102.10	4257		0	1000	false	true
k141_13629	1447	1	ASV102.10	1447		0	1000	false	true
k141_13638	1743	2	ASV507.0	1684	ASV507.1	1532	1000	true	true
k141_13639	1182	2	ASV102.10	1182	ASV153.8	1175	1000	true	true
k141_1364	1869	1	ASV399.6	1869		0	1000	false	true
k141_13640	2153	2	ASV507.1	2136	ASV507.3	2130	1000	true	true
k141_13642	1129	1	ASV487.10	1118		0	1000	false	true
k141_13643	1602	3	ASV507.3	1602	ASV507.0	1533	1000	true	true
k141_13648	4787	2	ASV153.8	4787	ASV102.10	4787	1000	true	true
k141_13658	1007	2	ASV153.8	1007	ASV102.10	1007	1000	true	true
k141_13659	3562	2	ASV153.8	3562	ASV102.10	3562	1000	true	true
k141_13662	2442	1	ASV102.10	2442		0	1000	false	true
k141_13665	1113	1	ASV399.6	1113		0	1000	false	true
k141_13666	1009	1	ASV102.10	996		0	1000	false	true
k141_1367	2799	1	ASV300.8	2799		0	1000	false	true
k141_13671	1046	1	ASV300.2	1046		0	1000	false	true
k141_13678	2860	2	ASV507.11	2532	ASV507.9	2527	1000	true	true
k141_13679	1201	1	ASV551.0	1201		0	1000	false	true
k141_1368	1913	2	ASV507.9	1913	ASV507.11	1913	1000	true	true
k141_13681	1093	2	ASV507.9	1012	ASV507.11	1012	1000	true	true
k141_13688	1298	1	ASV300.8	1298		0	1000	false	true
k141_1369	1143	1	ASV507.11	1013		0	1000	false	true
k141_13690	1296	2	ASV153.8	1296	ASV102.10	1296	1000	true	true
k141_13694	1020	1	ASV102.10	1020		0	1000	false	true
k141_13695	1141	1	ASV507.9	1141		0	1000	false	true
k141_1370	2764	2	ASV153.8	2764	ASV102.10	2764	1000	true	true
k141_13703	1015	1	ASV426.8	1015		0	1000	false	true
k141_13714	1423	1	ASV579.0	1423		0	1000	false	true
k141_13718	1454	2	ASV507.3	1444	ASV507.1	1444	1000	true	true
k141_13719	11186	1	ASV387.0	11186		0	1118	false	true
k141_13721	1466	2	ASV507.11	1466	ASV507.9	1247	1000	true	true
k141_13723	3516	2	ASV102.10	3516	ASV153.8	3503	1000	true	true
k141_13727	3114	2	ASV153.8	3114	ASV102.10	3114	1000	true	true
k141_13741	4172	1	ASV487.10	4172		0	1000	false	true
k141_13743	1486	2	ASV153.8	1486	ASV102.10	1486	1000	true	true
k141_1375	1394	2	ASV507.9	1083	ASV507.11	1035	1000	true	true
k141_13750	1069	1	ASV150.14	1069		0	1000	false	true
k141_13752	1131	1	ASV300.8	1131		0	1000	false	true
k141_13754	1383	2	ASV102.10	1383	ASV153.8	1361	1000	true	true
k141_13757	1217	1	ASV399.6	1217		0	1000	false	true
k141_13758	7861	1	ASV487.10	7861		0	1000	false	true
k141_13761	1644	1	ASV579.0	1644		0	1000	false	true
k141_13763	2556	1	ASV387.0	2556		0	1000	false	true
k141_1377	1801	1	ASV426.8	1801		0	1000	false	true
k141_13773	1221	2	ASV507.11	1221	ASV507.9	1213	1000	true	true
k141_13777	1095	1	ASV507.1	1095		0	1000	false	true
k141_1378	2664	1	ASV507.11	2655		0	1000	false	true
k141_13782	1528	1	ASV406.4	1528		0	1000	false	true
k141_13785	2417	1	ASV387.0	2417		0	1000	false	true
k141_13786	1582	2	ASV507.1	1582	ASV507.0	1575	1000	true	true
k141_13787	1062	2	ASV507.11	1062	ASV507.9	981	1000	false	true
k141_13788	2033	2	ASV431.3	2033	ASV487.10	2029	1000	true	true
k141_13792	1025	2	ASV486.6	1025	ASV476.8	1025	1000	true	true
k141_13797	1473	2	ASV507.3	1473	ASV507.1	1306	1000	true	true
k141_13798	1553	2	ASV507.9	1553	ASV507.11	1553	1000	true	true
k141_13802	1053	2	ASV486.6	1053	ASV476.8	1053	1000	true	true
k141_13803	1880	1	ASV399.6	1519		0	1000	false	true
k141_13804	2945	1	ASV102.10	2945		0	1000	false	true
k141_13806	2064	1	ASV300.8	2064		0	1000	false	true
k141_13808	1431	1	ASV102.10	1350		0	1000	false	true
k141_13811	5597	1	ASV487.10	5597		0	1000	false	true
k141_13812	1272	1	ASV300.8	1266		0	1000	false	true
k141_13813	1555	1	ASV507.11	1555		0	1000	false	true
k141_13815	1221	2	ASV507.1	1200	ASV507.3	1197	1000	true	true
k141_13816	3762	1	ASV487.10	3754		0	1000	false	true
k141_13825	1504	2	ASV486.6	1504	ASV476.8	1504	1000	true	true
k141_13829	2046	1	ASV487.10	2046		0	1000	false	true
k141_13836	1538	1	ASV300.8	1538		0	1000	false	true
k141_13847	1214	2	ASV507.1	1208	ASV507.3	1196	1000	true	true
k141_1385	1084	1	ASV507.1	1084		0	1000	false	true
k141_13856	1581	1	ASV102.10	1581		0	1000	false	true
k141_13860	1410	2	ASV507.9	1410	ASV507.11	1410	1000	true	true
k141_13862	2168	5	ASV507.9	1680	ASV507.11	1680	1000	true	true
k141_13866	1171	2	ASV153.8	1171	ASV102.10	1171	1000	true	true
k141_13868	1961	2	ASV476.8	1961	ASV486.6	1956	1000	true	true
k141_13871	2298	1	ASV387.0	2298		0	1000	false	true
k141_13872	1312	2	ASV153.8	1312	ASV102.10	1312	1000	true	true
k141_13873	6646	1	ASV487.10	6646		0	1000	false	true
k141_13874	1161	1	ASV399.6	1161		0	1000	false	true
k141_13877	1081	1	ASV507.11	1081		0	1000	false	true
k141_1388	1095	2	ASV153.8	1095	ASV102.10	1069	1000	true	true
k141_13882	1386	2	ASV153.8	1385	ASV102.10	1385	1000	true	true
k141_13883	2950	1	ASV487.10	2950		0	1000	false	true
k141_13885	4563	3	ASV507.9	2915	ASV507.11	2915	1000	true	true
k141_13886	1679	2	ASV486.6	1679	ASV476.8	1679	1000	true	true
k141_13887	1307	1	ASV426.8	1307		0	1000	false	true
k141_13890	1499	3	ASV507.9	1155	ASV507.11	1155	1000	true	true
k141_13892	4255	1	ASV102.10	4255		0	1000	false	true
k141_13895	2641	1	ASV102.10	2487		0	1000	false	true
k141_13897	1773	1	ASV507.11	1773		0	1000	false	true
k141_139	1055	2	ASV476.8	1055	ASV486.6	1041	1000	true	true
k141_13900	1673	2	ASV507.9	1673	ASV507.11	1426	1000	true	true
k141_13904	1100	1	ASV406.4	1100		0	1000	false	true
k141_13905	2178	2	ASV507.9	2178	ASV507.11	2178	1000	true	true
k141_13906	1526	2	ASV153.8	1526	ASV102.10	1526	1000	true	true
k141_13909	1660	2	ASV507.0	1660	ASV507.1	1539	1000	true	true
k141_13915	2593	2	ASV153.8	2593	ASV102.10	2593	1000	true	true
k141_13916	2796	2	ASV153.8	2796	ASV102.10	2796	1000	true	true
k141_13920	1118	1	ASV102.10	1118		0	1000	false	true
k141_13921	1359	1	ASV507.1	902		0	1000	false	true
k141_13927	1396	2	ASV507.9	1396	ASV507.11	1396	1000	true	true
k141_13933	3848	1	ASV487.10	3848		0	1000	false	true
k141_13938	2692	2	ASV153.8	2692	ASV102.10	2692	1000	true	true
k141_13942	1087	2	ASV507.9	1087	ASV507.11	1087	1000	true	true
k141_13943	1241	1	ASV102.10	1241		0	1000	false	true
k141_13944	1351	1	ASV579.0	1351		0	1000	false	true
k141_13945	1032	2	ASV486.6	1032	ASV476.8	1032	1000	true	true
k141_13947	12689	2	ASV150.14	12689	ASV102.10	12689	1268	true	true
k141_1395	2585	1	ASV487.10	2099		0	1000	false	true
k141_13954	2547	1	ASV387.0	2547		0	1000	false	true
k141_13956	6403	1	ASV487.10	6403		0	1000	false	true
k141_1396	1349	1	ASV300.8	1349		0	1000	false	true
k141_13962	1137	1	ASV507.11	1137		0	1000	false	true
k141_13963	3494	1	ASV487.10	3494		0	1000	false	true
k141_1397	1070	1	ASV102.10	1070		0	1000	false	true
k141_13972	1054	1	ASV399.6	1054		0	1000	false	true
k141_13974	1277	1	ASV399.6	1277		0	1000	false	true
k141_13981	4342	6	ASV150.14	3703	ASV102.10	3703	1000	true	true
k141_13987	1021	2	ASV507.9	1021	ASV507.11	1014	1000	true	true
k141_13989	1548	2	ASV153.8	1548	ASV102.10	1548	1000	true	true
k141_1399	2409	2	ASV507.9	2232	ASV507.11	2232	1000	true	true
k141_13990	1622	2	ASV507.11	1622	ASV507.1	1622	1000	true	true
k141_13999	4133	1	ASV487.10	4133		0	1000	false	true
k141_14000	2362	1	vASV6.0	2269		0	1000	false	true
k141_14002	1256	1	ASV300.8	1256		0	1000	false	true
k141_14007	1372	1	ASV102.10	1372		0	1000	false	true
k141_14017	1073	1	ASV579.0	1073		0	1000	false	true
k141_14018	2613	2	ASV153.8	2613	ASV102.10	2613	1000	true	true
k141_14020	1581	1	ASV487.10	1581		0	1000	false	true
k141_14021	2860	1	ASV102.10	2860		0	1000	false	true
k141_14027	3829	1	ASV487.10	3829		0	1000	false	true
k141_14028	2017	2	ASV153.8	2017	ASV102.10	2017	1000	true	true
k141_14030	1182	2	ASV153.8	1182	ASV102.10	1182	1000	true	true
k141_14031	1036	1	ASV406.4	1036		0	1000	false	true
k141_14036	1164	1	ASV406.4	1164		0	1000	false	true
k141_14041	1298	2	ASV153.8	1298	ASV102.10	1298	1000	true	true
k141_14044	1070	1	ASV300.8	1070		0	1000	false	true
k141_14045	4881	1	ASV387.0	4881		0	1000	false	true
k141_14046	1042	1	ASV300.8	1042		0	1000	false	true
k141_14050	2385	2	ASV507.9	2385	ASV507.11	2385	1000	true	true
k141_14059	1085	1	ASV102.10	1085		0	1000	false	true
k141_14062	1207	2	ASV507.3	1207	ASV507.1	1207	1000	true	true
k141_14064	1674	2	ASV102.10	1674	ASV153.8	1661	1000	true	true
k141_14065	2244	2	ASV507.9	1894	ASV507.11	1894	1000	true	true
k141_14068	1343	1	ASV487.10	1343		0	1000	false	true
k141_14071	1424	2	ASV507.9	1417	ASV507.11	1417	1000	true	true
k141_14073	1658	3	ASV507.0	1658	ASV507.3	1643	1000	true	true
k141_14074	2975	1	ASV300.8	2975		0	1000	false	true
k141_14076	1744	2	ASV507.11	1744	ASV507.9	1741	1000	true	true
k141_14077	4865	2	ASV507.9	4865	ASV507.11	4865	1000	true	true
k141_14078	1157	3	ASV507.3	1157	ASV507.1	1157	1000	true	true
k141_14079	2090	1	ASV300.8	2090		0	1000	false	true
k141_1408	1079	2	ASV486.6	1079	ASV476.8	1079	1000	true	true
k141_14080	1309	1	ASV579.0	1309		0	1000	false	true
k141_14085	1194	1	ASV426.8	1194		0	1000	false	true
k141_14086	5692	2	ASV153.8	5692	ASV102.10	5692	1000	true	true
k141_14087	1631	1	ASV487.10	1631		0	1000	false	true
k141_14088	1158	2	ASV476.8	1158	ASV486.6	1132	1000	true	true
k141_14091	1484	2	ASV153.8	1484	ASV102.10	1484	1000	true	true
k141_141	1092	1	ASV406.4	1092		0	1000	false	true
k141_1410	1119	1	vASV60.0	1119		0	1000	false	true
k141_14102	2949	2	ASV153.8	2949	ASV102.10	2949	1000	true	true
k141_14103	2085	1	ASV487.10	2085		0	1000	false	true
k141_14105	1459	2	ASV507.11	1456	ASV507.9	1074	1000	true	true
k141_14106	3441	1	ASV102.10	3441		0	1000	false	true
k141_14108	4240	1	ASV387.0	4240		0	1000	false	true
k141_14109	1012	2	ASV507.1	984	ASV507.3	975	1000	false	true
k141_14111	2139	2	ASV153.8	2139	ASV102.10	2139	1000	true	true
k141_14112	2476	2	ASV153.8	2476	ASV102.10	2476	1000	true	true
k141_14114	1614	2	ASV153.8	1614	ASV102.10	1614	1000	true	true
k141_14115	1078	1	ASV387.0	1078		0	1000	false	true
k141_14118	9086	3	ASV150.14	8819	ASV102.10	8819	1000	true	true
k141_14122	2293	2	ASV153.8	2284	ASV102.10	2284	1000	true	true
k141_14128	1392	2	ASV153.8	1392	ASV102.10	1392	1000	true	true
k141_1413	2613	2	ASV102.10	2613	ASV153.8	2358	1000	true	true
k141_14131	2038	1	ASV102.10	1621		0	1000	false	true
k141_14135	1147	2	ASV507.9	1147	ASV507.11	1147	1000	true	true
k141_14137	3111	1	ASV507.11	3111		0	1000	false	true
k141_1414	2553	2	ASV486.6	2553	ASV476.8	2553	1000	true	true
k141_14141	1090	2	ASV507.9	1090	ASV507.11	1090	1000	true	true
k141_14142	4672	2	ASV150.14	4672	ASV102.10	4672	1000	true	true
k141_14144	1402	1	ASV487.10	1402		0	1000	false	true
k141_14146	1120	1	ASV149.0	1095		0	1000	false	true
k141_14147	2600	2	ASV102.10	2377	ASV153.8	2358	1000	true	true
k141_14152	1485	2	ASV153.8	1485	ASV102.10	1485	1000	true	true
k141_14153	4324	1	ASV387.0	4324		0	1000	false	true
k141_14165	2830	2	ASV153.8	2830	ASV102.10	2830	1000	true	true
k141_14168	1297	2	ASV507.1	1297	ASV507.3	1257	1000	true	true
k141_1417	1914	2	ASV507.9	1914	ASV507.11	1914	1000	true	true
k141_14178	3495	4	ASV507.11	2093	ASV507.9	2087	1000	true	true
k141_1418	2115	2	ASV507.1	1545	ASV507.11	1024	1000	true	true
k141_14183	1224	1	ASV487.10	1224		0	1000	false	true
k141_14184	3074	2	ASV153.8	3074	ASV102.10	3074	1000	true	true
k141_14191	2856	2	ASV153.8	2856	ASV102.10	2437	1000	true	true
k141_14194	1022	1	ASV476.8	1022		0	1000	false	true
k141_14198	1034	1	ASV406.4	1034		0	1000	false	true
k141_1420	4534	2	ASV153.8	4534	ASV102.10	4534	1000	true	true
k141_14202	1067	1	ASV456.0	1067		0	1000	false	true
k141_14205	1799	2	ASV153.8	1799	ASV102.10	1799	1000	true	true
k141_14206	2021	1	ASV507.1	1992		0	1000	false	true
k141_14208	1516	1	ASV300.8	1516		0	1000	false	true
k141_14209	1350	2	ASV102.10	1350	ASV153.8	1330	1000	true	true
k141_14215	1224	1	ASV300.8	1224		0	1000	false	true
k141_14228	1536	2	ASV507.9	1536	ASV507.11	1536	1000	true	true
k141_14229	1517	1	ASV507.1	1250		0	1000	false	true
k141_1423	1003	1	ASV507.1	1003		0	1000	false	true
k141_14240	1052	1	ASV399.6	1052		0	1000	false	true
k141_14242	1461	1	ASV579.0	1461		0	1000	false	true
k141_14247	2115	1	ASV102.10	2026		0	1000	false	true
k141_14250	1609	2	ASV153.8	1609	ASV102.10	1609	1000	true	true
k141_14251	1032	1	ASV300.8	1032		0	1000	false	true
k141_14252	1816	2	ASV507.1	1757	ASV507.3	1479	1000	true	true
k141_14255	1449	2	ASV507.9	1449	ASV507.11	1449	1000	true	true
k141_14256	1513	1	ASV476.8	1513		0	1000	false	true
k141_14259	3981	1	ASV487.10	3981		0	1000	false	true
k141_14263	1234	3	ASV507.3	1234	ASV507.1	1234	1000	true	true
k141_14264	1033	2	ASV153.8	1033	ASV102.10	1033	1000	true	true
k141_14265	2836	1	ASV387.0	2836		0	1000	false	true
k141_14267	2658	2	ASV102.10	2658	ASV153.8	2654	1000	true	true
k141_14271	3168	2	ASV153.8	3168	ASV102.10	3168	1000	true	true
k141_14272	1042	2	ASV507.0	1042	ASV507.1	1032	1000	true	true
k141_14277	1192	1	ASV102.10	1192		0	1000	false	true
k141_14278	1858	2	ASV507.1	1858	ASV507.3	1812	1000	true	true
k141_14279	1556	2	ASV507.9	1556	ASV507.11	1556	1000	true	true
k141_14280	1121	1	ASV300.8	1121		0	1000	false	true
